day,month,Day_week,year,open_norm,high_norm,low_norm,close_norm
17,6,5,2011,-0.015275931,-0.014698621,-0.021184739,0
20,6,1,2011,-0.017888825,-0.018194434,-0.04526697,0
21,6,2,2011,-0.027074579,-0.014566156,0.01831405,1
22,6,3,2011,0.014273259,0.003545958,0.010234061,1
23,6,4,2011,-0.008500748,0.002358266,-0.003944504,1
24,6,5,2011,0.014417828,0.032993496,0.019179585,1
27,6,1,2011,0.018818651,0.010099538,0.017489158,1
28,6,2,2011,0.016498113,-0.003689673,0.005708775,0
29,6,3,2011,-0.001803371,0.005318784,0.010223652,1
30,6,4,2011,0.007280104,0.006662574,0.00420271,1
1,7,5,2011,0.015610156,0.011316919,0.013576868,1
4,7,1,2011,0.00643544,0.004616083,0.004535199,1
5,7,2,2011,-0.001903416,-0.002075104,-0.002665409,1
6,7,3,2011,-0.0024881,0.00230964,0.001786693,0
7,7,4,2011,0.001568276,0.007201921,0.0037019,1
8,7,5,2011,0.013011222,0.005657074,0.002545935,0
11,7,1,2011,-0.015265715,-0.016934275,-0.020717903,0
12,7,2,2011,-0.030832823,-0.03518863,-0.036061385,0
13,7,3,2011,-0.015139479,-0.004357517,0.007084477,0
14,7,4,2011,-0.00024276,-0.010666481,-0.010669466,0
15,7,5,2011,0.001872058,0.005332018,0.001488614,1
18,7,1,2011,-0.006911326,-0.009228972,-0.005929791,0
19,7,2,2011,-0.007368802,0.004284086,0.002680347,1
20,7,3,2011,0.016647368,0.00332655,0.000539396,0
21,7,4,2011,-0.014853532,-0.006350197,-0.001926507,1
22,7,5,2011,0.008275196,0.014548053,0.010691704,1
25,7,1,2011,0.009424627,-0.001462577,0.003041544,0
26,7,2,2011,0.001143737,0.001611966,-0.000336925,0
27,7,3,2011,-0.000357495,0.00129214,0.003025505,0
28,7,4,2011,-0.013519712,-0.019148443,-0.019497062,0
29,7,5,2011,-0.00799918,0.00155989,-0.001418632,1
1,8,1,2011,0.009017025,0.010430268,0.012163295,1
2,8,2,2011,0.000464538,-0.010813041,-0.011772684,0
3,8,3,2011,-0.01906081,-0.01906081,-0.015216316,0
4,8,4,2011,-0.001516306,0.005463516,-0.003540784,0
5,8,5,2011,-0.032204152,-0.03892249,-0.061602511,0
8,8,1,2011,-0.051889612,-0.050586145,-0.034590922,0
9,8,2,2011,-0.051603356,-0.025464562,-0.031710557,0
10,8,3,2011,0.034790638,0.015783854,0.0253242,1
11,8,4,2011,-0.009359971,-0.009973322,-0.004131522,0
12,8,5,2011,0.01535704,0.005853328,-0.026426159,0
15,8,1,2011,0,0,0,0
16,8,2,2011,-0.021706925,-0.018424718,0.013585715,1
17,8,3,2011,-0.009874685,0.013691574,0.004516936,1
18,8,4,2011,0.02554193,-0.001185732,-0.02323409,0
19,8,5,2011,-0.069680842,-0.070112644,-0.060324782,0
22,8,1,2011,-0.021712629,-0.01360159,0.004809323,0
23,8,2,2011,0.001589529,0.037173274,0.00969177,1
24,8,3,2011,0.035737027,-0.008021992,0.020485838,0
25,8,4,2011,-0.010073113,-0.007424783,-0.022946522,0
26,8,5,2011,-0.025959756,-0.011091841,-0.003383244,0
29,8,1,2011,0.012447889,0.033080229,0.021526341,1
30,8,2,2011,0.047852036,0.021322439,0.031923964,1
31,8,3,2011,0,0,0,0
1,9,4,2011,0,0,0,0
2,9,5,2011,0.027229943,0.014621405,-0.002563164,0
5,9,1,2011,-0.038920593,-0.038920593,-0.014373659,0
6,9,2,2011,-0.012737183,0.0094405,-0.005978474,1
7,9,3,2011,0.018232872,0.006383255,0.025700643,1
8,9,4,2011,0.004499888,0.015801604,0.009938365,1
9,9,5,2011,0.011101939,-0.009620272,-0.014329571,0
12,9,1,2011,-0.042489176,-0.043436824,-0.032698496,0
13,9,2,2011,-0.001829782,0.016142321,0.003618712,1
14,9,3,2011,0.008436267,0.027463255,0.017320759,1
15,9,4,2011,0.044017436,0.02229726,0.02630576,1
16,9,5,2011,0.024704413,0.008930815,0.01705363,0
19,9,1,2011,-0.023005685,-0.021608975,-0.007840739,0
20,9,2,2011,-0.004225057,0.022713634,0.004599943,1
21,9,3,2011,0.030414148,0.006881468,0.021007903,0
22,9,4,2011,-0.023313188,-0.022172185,-0.040344064,0
23,9,5,2011,-0.029430472,-0.012831974,-0.003046928,0
26,9,1,2011,0.008303922,-0.009229953,-0.010284343,1
27,9,2,2011,0.010937384,0.037263755,0.031372549,1
28,9,3,2011,0.03615841,0.023561351,0.027185393,1
29,9,4,2011,-0.001879116,0.002582788,0.002396238,1
30,9,5,2011,0.013968936,0.001188318,0.009499599,0
3,10,1,2011,-0.020353827,-0.023998059,-0.019279876,0
4,10,2,2011,-0.008689744,-0.00584079,-0.012892705,0
5,10,3,2011,0.005880019,0.006928695,0.007018857,0
6,10,4,2011,0,0,0,0
7,10,5,2011,0.0282689,0.02367567,0.015462563,1
10,10,1,2011,-0.008492532,0.007241606,0.013004632,1
11,10,2,2011,0.023981005,0.002932577,-0.01043227,0
12,10,3,2011,-0.004963845,0.019661982,0.031644555,1
13,10,4,2011,0.037708002,0.01513699,0.027679003,1
14,10,5,2011,-0.003950662,0.016485246,0.003115788,1
17,10,1,2011,0.029734966,0.006022624,0.016359405,0
18,10,2,2011,-0.036709672,-0.037677309,-0.035866091,0
19,10,3,2011,-0.002651694,0.004545761,0.008424326,1
20,10,4,2011,-0.00572263,0.003469313,-0.005244518,1
21,10,5,2011,0.01718181,0.000643028,0.010544336,0
24,10,1,2011,0.001844387,0.016649558,0.011774423,1
25,10,2,2011,0.021058945,0.028977655,0.016177402,1
26,10,3,2011,0.016219039,-0.004970163,0.012960504,0
27,10,4,2011,0,0,0,0
28,10,5,2011,0.019018947,0.031493285,0.011046639,1
31,10,1,2011,-0.011857022,-0.015359144,0.002345276,1
1,11,2,2011,-0.008220117,-0.007744105,-0.01403873,0
2,11,3,2011,-0.00635084,-0.004502928,0.001012416,1
3,11,4,2011,0.0046439,-0.004603213,-0.012541265,0
4,11,5,2011,0.00671622,0.006591519,0.005465332,1
7,11,1,2011,0,0,0,0
8,11,2,2011,-0.011894953,-0.006628116,0.003056011,1
9,11,3,2011,0.008443703,0.012252698,0.009985051,1
10,11,4,2011,0,0,0,0
11,11,5,2011,-0.046633539,-0.013349726,-0.044685592,0
14,11,1,2011,0.04856936,0.009824178,0.043811785,1
15,11,2,2011,-0.005918443,-0.008032864,-0.006631118,0
16,11,3,2011,-0.003344401,-0.009831461,-0.013480701,0
17,11,4,2011,-0.012644377,-0.007732523,-0.00645379,0
18,11,5,2011,-0.01166523,-0.009557184,-0.009271304,0
21,11,1,2011,-0.006428892,-0.010408162,-0.023951295,0
22,11,2,2011,-0.030053503,0.008317429,-0.005886284,1
23,11,3,2011,0.02081448,-0.020456743,-0.006041801,0
24,11,4,2011,-0.01643026,0.003392062,-0.004717145,1
25,11,5,2011,0.010798839,-0.009771768,0.007048266,0
28,11,1,2011,-0.006326856,0.00455194,0.012267603,1
29,11,2,2011,0.006444059,-0.00360138,-0.003982668,0
30,11,3,2011,-0.012423468,0.005268874,-0.004050077,1
1,12,4,2011,0.035752979,0.024796806,0.027121798,1
2,12,5,2011,-0.005454274,0.01396793,0.004303078,1
5,12,1,2011,0.019582801,-0.000178692,0.015944208,1
6,12,2,2011,0,0,0,0
