Date,Close,Open,High,Low
06-Sep-12,6233.35,6094.55,6243.55,6092.45
07-Sep-12,6342.7,6299.55,6351.4,6299.55
10-Sep-12,6361.9,6355.9,6388.7,6318.5
11-Sep-12,6424.65,6340.05,6431.9,6311.2
12-Sep-12,6485.95,6434.55,6501.7,6422.55
13-Sep-12,6514.35,6483.8,6527.6,6460.65
14-Sep-12,6599.4,6579.6,6643.8,6541.35
17-Sep-12,6398.2,6630.4,6630.4,6382.95
18-Sep-12,6370.6,6420.3,6444.95,6361.15
19-Sep-12,6370.6,6420.3,6444.95,6361.15
20-Sep-12,6422.5,6310,6469.05,6310
21-Sep-12,6379.55,6428.6,6494.25,6365.5
24-Sep-12,6364,6394.2,6395.8,6320.25
25-Sep-12,6367.95,6354.6,6396.9,6344.7
26-Sep-12,6348.8,6343.2,6369.4,6316.75
27-Sep-12,6285.2,6343.25,6356.25,6262.15
28-Sep-12,6313.8,6313.95,6364.8,6304.25
01-Oct-12,6435.4,6327.4,6449.25,6327.4
02-Oct-12,6435.4,6327.4,6449.25,6327.4
03-Oct-12,6422.55,6431.75,6477,6395.65
04-Oct-12,6399.5,6418.1,6428.95,6374.75
05-Oct-12,6292.45,6403.4,6411.95,5660.85
08-Oct-12,6207.95,6298.9,6324,6192.3
09-Oct-12,6274.8,6237.6,6290.65,6205.8
10-Oct-12,6225.8,6226.4,6263.65,6216.3
11-Oct-12,6268.7,6221,6336.5,6199.25
12-Oct-12,6106.15,6027.55,6175,5981.2
15-Oct-12,6060.45,6089.35,6132.05,6049.6
16-Oct-12,6050.85,6083,6115.75,6035.35
17-Oct-12,6045.15,6093.15,6102.2,6019.05
18-Oct-12,6088.85,6043.1,6098.75,6020.4
19-Oct-12,6067,6077,6104.05,6049.8
22-Oct-12,6112.8,6096.65,6137,6087.5
23-Oct-12,6063.15,6090.25,6100.7,6053.2
24-Oct-12,6063.15,6090.25,6100.7,6053.2
25-Oct-12,6051.7,6055,6073.5,6033.3
26-Oct-12,6025.4,6024.9,6059.1,6011.7
29-Oct-12,6032.45,6012.65,6038.85,6003.85
30-Oct-12,6066.1,6016.5,6082.9,6016.5
31-Oct-12,6087.85,6053.5,6095.9,6053.5
01-Nov-12,6101.85,6085.1,6109.5,6076.05
02-Nov-12,6163.45,6134.85,6197.75,6131.75
05-Nov-12,6144.2,6163.95,6176.35,6127.7
06-Nov-12,6139.5,6144.5,6187.9,6128.1
07-Nov-12,6192.75,6144.65,6210.4,6136.95
08-Nov-12,6163.05,6138,6166.8,6120.8
09-Nov-12,6110.45,6147.6,6148.1,6099.85
12-Nov-12,6138.65,6111,6160.85,6111
13-Nov-12,6106.1,6135.2,6142.3,6094.75
14-Nov-12,6106.1,6135.2,6142.3,6094.75
15-Nov-12,6000.5,6093.4,6093.4,5989.3
16-Nov-12,6030.5,6002.5,6117,5993.4
19-Nov-12,6013.85,6035.25,6087.8,5992.65
20-Nov-12,5990.85,6055.55,6055.55,5959.2
21-Nov-12,6043.6,6004.05,6050.8,6001.4
22-Nov-12,6087.95,6041.9,6101.35,6027.15
